일자,시가_원,고가_원,저가_원,종가_원,거래량_주,등락률_pct,NAV_원,괴리율_pct,설정좌수,환매좌수,상장좌수,시가총액_원,시가총액_억원,순자산가치_AUM_원,순자산가치_AUM_억원
2025-12-12,12729,12773,12724,12773,971990,0.8607075173720783,13054.13,0.01,0.0,100000.0,174950000.0,2234636350000,22346.36,2283820043500,22838.2
2025-12-15,12778,12821,12773,12787,1517500,0.10960620057934706,13036.31,0.26,0.0,0.0,174850000.0,2235806950000,22358.07,2279398803500,22793.99
2025-12-16,12787,12816,12754,12802,1104794,0.11730663955579887,13122.42,-0.29,0.0,50000.0,174850000.0,2238429700000,22384.3,2294455137000,22944.55
2025-12-17,12754,12754,12644,12744,1002117,-0.4530542102796438,13003.81,0.16,50000.0,150000.0,174800000.0,2227651200000,22276.51,2273065988000,22730.66
2025-12-18,12744,12778,12724,12739,929523,-0.03923414940364093,13051.72,-0.24,250000.0,0.0,174700000.0,2225503300000,22255.03,2280135484000,22801.35
2025-12-19,12739,12739,12684,12719,1077958,-0.156998194520763,12981.32,0.14,650000.0,100000.0,174950000.0,2225189050000,22251.89,2271081934000,22710.82
2025-12-22,12719,12768,12719,12734,1242377,0.11793379982703042,13013.72,0.01,50000.0,50000.0,175500000.0,2234817000000,22348.17,2283907860000,22839.08
2025-12-23,12768,12836,12768,12831,1060938,0.7617402230249726,13117.96,-0.02,0.0,0.0,175500000.0,2251840500000,22518.4,2302201980000,23022.02
2025-12-24,12806,12806,12620,12694,1775704,-1.0677265996414933,12776.24,1.56,750000.0,0.0,175500000.0,2227797000000,22277.97,2242230120000,22422.3
2025-12-26,12694,12704,12479,12533,1793754,-1.2683157397195526,12696.04,0.9,250000.0,0.0,176250000.0,2208941250000,22089.41,2237677050000,22376.77
2025-12-29,12571,12576,12435,12435,1671379,-0.7819356897789835,12596.7,0.58,0.0,50000.0,176500000.0,2194777500000,21947.78,2223317550000,22233.18
2025-12-30,12440,12513,12386,12513,1261849,0.6272617611580217,12671.46,0.62,0.0,0.0,176450000.0,2207918850000,22079.19,2235879117000,22358.79
2026-01-02,12479,12479,12411,12469,2259621,-0.35163430032765924,12618.49,0.69,1550000.0,0.0,176450000.0,2200155050000,22001.55,2226532560500,22265.33
2026-01-05,12513,12665,12513,12616,3016076,1.1789237308525142,12767.51,0.69,550000.0,0.0,178000000.0,2245648000000,22456.48,2272616780000,22726.17
2026-01-06,12626,12680,12626,12636,2058903,0.15852885225110971,12861.62,0.1,1150000.0,0.0,178550000.0,2256157800000,22561.58,2296442251000,22964.42
2026-01-07,12735,12760,12725,12730,1628114,0.743906299461855,12946.27,0.18,950000.0,0.0,179700000.0,2287581000000,22875.81,2326444719000,23264.45
2026-01-08,12715,12715,12667,12685,1413982,-0.3534956794972506,12901.46,0.18,750000.0,0.0,180650000.0,2291545250000,22915.45,2330648749000,23306.49
2026-01-09,12891,12935,12891,12930,1604952,1.931415057154119,13207.95,-0.25,50000.0,100000.0,181400000.0,2345502000000,23455.02,2395922130000,23959.22
2026-01-12,12984,13092,12964,13063,2483544,1.02861562258314,13364.21,-0.41,600000.0,0.0,181350000.0,2368975050000,23689.75,2423599483500,24235.99
2026-01-13,13063,13126,13063,13102,1859946,0.2985531654290745,13380.95,-0.23,50000.0,0.0,181950000.0,2383908900000,23839.09,2434663852500,24346.64
2026-01-14,13186,13226,13166,13186,1840945,0.6411234925965501,13480.3,-0.34,500000.0,50000.0,182000000.0,2399852000000,23998.52,2453414600000,24534.15
2026-01-15,13270,13356,13270,13337,1924001,1.1451539511603215,13606.05,-0.12,500000.0,100000.0,182450000.0,2433335650000,24333.36,2482423822500,24824.24
